Tractor Model,Installed On,installation_state,installation_district
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-10-15T10:53:25.646Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-11-29T10:21:11.598Z,Uttar Pradesh,Meerut
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-11-14T12:17:02.775Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-17T10:03:41.496Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-12-19T07:52:44.246Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-12-18T11:20:48.485Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-42 HP,2019-12-19T12:49:09.409Z,Uttar Pradesh,Meerut
MAHINDRA YUVO 265 DI-32 HP,2019-12-14T09:00:15.008Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI XP PLUS - 45 HP,2020-01-09T11:38:43.739Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 275 Eco-35 HP,2019-11-29T09:33:57.375Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-42 HP,2019-11-29T07:28:06.179Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-12-02T08:43:37.297Z,Uttar Pradesh,Meerut
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-12-05T07:00:35.029Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-42 HP,2019-12-09T07:55:11.912Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI XP-35 HP,2019-12-05T08:49:19.979Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-17T10:36:36.013Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-12-30T12:27:50.669Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 575 DI-42 HP,2020-01-04T10:31:45.512Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-17T08:34:40.339Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-17T08:57:51.135Z,Uttar Pradesh,Meerut
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-25T11:45:51.545Z,Uttar Pradesh,Meerut
MAHINDRA YUVO 575 DI-45 HP,2020-02-28T06:49:21.294Z,Uttar Pradesh,Meerut
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-03-17T10:31:06.415Z,Uttar Pradesh,Meerut
MAHINDRA YUVO 575 DI-45 HP,2020-03-17T11:07:56.082Z,Uttar Pradesh,Meerut
MAHINDRA ARJUN Ultra 605 DI-57HP,2019-12-16T07:43:52.954Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-15T08:59:23.823Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN Ultra 605 DI-57HP,2019-12-16T12:24:43.448Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-12-17T06:25:09.114Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-11-07T10:29:49.483Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-10-15T10:25:39.470Z,Uttar Pradesh,Moradabad
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2020-02-03T07:03:10.357Z,Uttar Pradesh,Moradabad
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-12-10T08:05:08.011Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-12-04T10:31:54.807Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-12-30T10:01:57.866Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-12-30T09:05:03.040Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2020-01-24T10:36:41.212Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-03-07T08:34:06.753Z,Uttar Pradesh,Muzaffarnagar
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-22T07:32:49.576Z,Uttar Pradesh,Pilibhit
MAHINDRA ARJUN Ultra 605 DI-57HP,2019-11-20T07:23:19.047Z,Uttar Pradesh,Pilibhit
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2020-01-05T09:00:49.042Z,Uttar Pradesh,Pilibhit
MAHINDRA ARJUN Ultra 605 DI-57HP,2020-03-21T08:37:47.721Z,Uttar Pradesh,Pilibhit
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2020-01-04T08:25:43.543Z,Uttar Pradesh,Pratapgarh
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2020-01-28T07:57:53.626Z,Uttar Pradesh,Pratapgarh
MAHINDRA BHOOMIPUTRA 265 DI-33 HP,2019-10-13T08:07:33.231Z,Uttar Pradesh,Rae Bareli
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-11-15T08:57:23.576Z,Uttar Pradesh,Rae Bareli
MAHINDRA BHOOMIPUTRA 265 DI-35 HP,2019-11-15T10:05:43.047Z,Uttar Pradesh,Rae Bareli
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-11-15T10:03:29.828Z,Uttar Pradesh,Saharanpur
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-12-25T11:33:35.873Z,Uttar Pradesh,Saharanpur
MAHINDRA BHOOMIPUTRA 575 DI-45 HP,2019-12-14T08:42:49.044Z,Uttar Pradesh,Saharanpur
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-10-18T09:54:00.387Z,Uttar Pradesh,Saharanpur
MAHINDRA JIVO 245 DI-24 HP,2019-12-26T09:26:19.020Z,Uttar Pradesh,Siddharth Nagar
MAHINDRA YUVO 575 DI-45 HP,2019-12-25T12:24:27.345Z,Uttar Pradesh,Siddharth Nagar
MAHINDRA YUVO 575 DI-45 HP,2019-12-25T13:10:26.774Z,Uttar Pradesh,Siddharth Nagar
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-03-11T13:52:03.215Z,Uttar Pradesh,Siddharth Nagar
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-02-22T13:17:36.837Z,Uttar Pradesh,Sitapur
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-11-09T12:18:07.785Z,Uttar Pradesh,Sitapur
MAHINDRA ARJUN Ultra 605 DI-57HP,2020-02-22T10:04:43.812Z,Uttar Pradesh,Sitapur
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-02-22T11:41:35.262Z,Uttar Pradesh,Sitapur
MAHINDRA BHOOMIPUTRA 275 DI TU-39 HP,2019-10-23T08:06:41.054Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 415 DI-40 HP,2019-10-24T06:07:00.541Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-11-25T08:22:08.239Z,Uttar Pradesh,Sonbhadra
MAHINDRA YUVO 475 DI-42 HP,2019-11-08T09:29:28.497Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-12-17T10:58:41.515Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 275 DI TU-39 HP,2019-11-21T09:55:29.657Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-10-23T10:44:28.363Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-11-22T09:07:04.210Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2020-01-18T11:32:12.346Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 415 DI-40 HP,2019-12-29T07:38:03.569Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 415 DI-40 HP,2020-02-08T10:31:28.619Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2020-01-12T10:27:17.638Z,Uttar Pradesh,Sonbhadra
MAHINDRA YUVO 575 DI-45 HP,2020-02-28T11:42:57.191Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 415 DI-40 HP,2020-03-16T08:23:26.296Z,Uttar Pradesh,Sonbhadra
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2020-03-18T11:27:48.070Z,Uttar Pradesh,Sonbhadra
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-12T08:05:28.389Z,Uttar Pradesh,Sultanpur
MAHINDRA BHOOMIPUTRA 475 DI-42 HP,2019-11-16T07:57:52.966Z,Uttar Pradesh,Sultanpur
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-11-14T08:51:24.879Z,Uttar Pradesh,Sultanpur
MAHINDRA BHOOMIPUTRA 585 DI-50 HP,2019-11-30T08:19:22.483Z,Uttar Pradesh,Sultanpur
MAHINDRA BHOOMIPUTRA 265 DI-30 HP,2019-11-30T10:47:01.369Z,Uttar Pradesh,Sultanpur
MAHINDRA YUVO 575 DI-45 HP,2020-01-20T10:12:17.316Z,Uttar Pradesh,Sultanpur
MAHINDRA YUVO 475 DI-42 HP,2019-10-24T09:37:57.715Z,Uttar Pradesh,Unnao
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2019-10-24T10:36:04.180Z,Uttar Pradesh,Unnao
MAHINDRA ARJUN Ultra 1 555 DI-50 HP,2019-11-19T09:00:58.249Z,Uttar Pradesh,Unnao
MAHINDRA YUVO 265 DI-32 HP,2019-12-02T07:41:39.170Z,Uttar Pradesh,Unnao
MAHINDRA BHOOMIPUTRA 415 DI-40 HP,2020-01-28T11:08:28.097Z,Uttar Pradesh,Unnao
MAHINDRA YUVO 275 DI-35 HP,2019-11-20T10:26:06.108Z,Uttar Pradesh,Varanasi
MAHINDRA YUVO 575 DI-45 HP,2020-03-05T11:11:11.714Z,Uttar Pradesh,Varanasi
MAHINDRA ARJUN NOVO 605 DI-I-57 HP,2020-03-06T09:53:57.137Z,Uttar Pradesh,Varanasi
